trial_id,tf,entry,filt,spacing,kmax,tp,stop,conv,cum,ann,sharpe,mdd,calmar,req_cum,is_cum,is_sharpe,is_mdd,oos_cum,oos_sharpe,oos_mdd,n_trades,n_wins,n_B,n_A,n_Ap,heat_blocked,time_viol,win_rate
CT|e=E1|f=0|sp=1|k=3|tp=A1.0|sl=6|cv=gateA|1h,1h,E1,0,1.0,3,A1.0,6.0,gateA,-0.30322426464194774,-0.062126139597493246,-1.1208945989659342,-0.33168351084706205,-0.1873054811764199,-0.22766023497388355,-0.22439400768225426,-1.053357693281497,-0.2400655278394369,-0.10163698803322052,-1.339652614801161,-0.12975776438943487,1478,1279,0,896,582,0,0,0.8653585926928281
CT|e=E1|f=0|sp=1|k=3|tp=A1.0|sl=10|cv=gateA|1h,1h,E1,0,1.0,3,A1.0,10.0,gateA,-0.23579995219304395,-0.04662042186173143,-0.570775391925434,-0.26838885496879505,-0.17370476082977396,-0.2114687696342139,-0.1347749898123387,-0.3960854470740483,-0.230721808059413,-0.11676149116262147,-1.1185027966096068,-0.14811459221044243,1314,1208,0,768,546,0,0,0.9193302891933028
CT|e=E1|f=0|sp=1|k=3|tp=A2.0|sl=-|cv=gateA|1h,1h,E1,0,1.0,3,A2.0,,gateA,-0.026161810643791306,-0.004695262423731972,0.03097479995685946,-0.2773052588637407,-0.01693174677959887,-0.016741873602786672,0.019863655513040257,0.10273170114232617,-0.2773052588637407,-0.045129038482774275,-0.12709716281999456,-0.2087083761323255,117,114,0,63,54,0,0,0.9743589743589743
CT|e=E1|f=0|sp=1|k=3|tp=A2.0|sl=6|cv=gateA|1h,1h,E1,0,1.0,3,A2.0,6.0,gateA,-0.3054489697957433,-0.06265844956330902,-0.8972373338776799,-0.3255108901738526,-0.19249263682036466,-0.23257648359391936,-0.2366982941350897,-0.8787369499995215,-0.2480670554830483,-0.09007011923647068,-0.9775291708740548,-0.11912362787951125,1132,887,0,686,446,0,0,0.7835689045936396
CT|e=E1|f=0|sp=1|k=3|tp=A2.0|sl=10|cv=gateA|1h,1h,E1,0,1.0,3,A2.0,10.0,gateA,-0.19985309550498243,-0.03880876649704068,-0.36356042430591035,-0.27006493120945463,-0.1437016139905322,-0.17674195001971593,-0.13250411174886645,-0.2919990483457433,-0.27006493120945463,-0.07763608412241729,-0.6181877845126847,-0.10266171887645326,937,806,0,541,396,0,0,0.8601921024546425
CT|e=E1|f=0|sp=1.5|k=1|tp=MID|sl=-|cv=gateA|1h,1h,E1,0,1.5,1,MID,,gateA,-0.1277986027065403,-0.023982184248922733,-0.7952317254255146,-0.13521792532985177,-0.177359504595418,-0.2172825311595037,-0.08165248583469431,-0.6376965538481567,-0.10188934744712852,-0.05024907909048759,-1.4054470030381936,-0.055615426566412385,1562,1109,0,947,615,0,0,0.7099871959026889
CT|e=E1|f=0|sp=1.5|k=1|tp=MID|sl=6|cv=gateA|1h,1h,E1,0,1.5,1,MID,6.0,gateA,-0.17591388484121073,-0.033765180506705406,-1.1694733276875862,-0.18076662868797633,-0.18678879366051535,-0.22634293839917918,-0.12717573991774256,-1.071205871352109,-0.13959677506801293,-0.05583958552993695,-1.5572623815258206,-0.06073157296691978,1646,1157,0,1009,637,0,0,0.7029161603888214
CT|e=E1|f=0|sp=1.5|k=1|tp=MID|sl=10|cv=gateA|1h,1h,E1,0,1.5,1,MID,10.0,gateA,-0.1678333178629986,-0.03208993946800076,-1.0089976994029333,-0.171927684546883,-0.18664788950409059,-0.2264476230736685,-0.11090878459655529,-0.8450501810013462,-0.11959845458133389,-0.06402552660540384,-1.5832824391792633,-0.06896721805866324,1589,1125,0,969,620,0,0,0.7079924480805538
CT|e=E1|f=0|sp=1.5|k=1|tp=A0.5|sl=-|cv=gateA|1h,1h,E1,0,1.5,1,A0.5,,gateA,0.014939762337411455,0.0026360953985673508,0.07422901868319004,-0.13533373475082733,0.01947847965195711,0.013200845090289404,0.0699921467064708,0.33321960319712923,-0.13533373475082733,-0.05145120414062554,-0.45832860552961896,-0.10254355326977094,410,406,0,233,177,0,0,0.9902439024390244
CT|e=E1|f=0|sp=1.5|k=1|tp=A0.5|sl=6|cv=gateA|1h,1h,E1,0,1.5,1,A0.5,6.0,gateA,-0.19027307790911463,-0.036775716606840425,-1.3509911411651807,-0.20046025595293193,-0.18345639853655263,-0.2226917697570191,-0.11679002097785074,-1.0837506604021894,-0.12848406883057906,-0.0831999849148215,-2.0894723540721447,-0.09425749744591483,1704,1504,0,1058,646,0,0,0.8826291079812206
CT|e=E1|f=0|sp=1.5|k=1|tp=A0.5|sl=10|cv=gateA|1h,1h,E1,0,1.5,1,A0.5,10.0,gateA,-0.21877940979184363,-0.042884831059855744,-1.2196162642652455,-0.23589475549539707,-0.18179645821202897,-0.2211898519542258,-0.1483545402044678,-1.1149896294222006,-0.16525220442893318,-0.08269270830643949,-1.4753459869649015,-0.09796086322325093,1541,1419,0,927,614,0,0,0.9208306294613887
CT|e=E1|f=0|sp=1.5|k=1|tp=A1.0|sl=-|cv=gateA|1h,1h,E1,0,1.5,1,A1.0,,gateA,0.010914532241953934,0.0019290081944787207,0.06208536761101317,-0.13734478915654802,0.014045004592638771,0.004950433214870875,0.03909593206143702,0.18953423500878658,-0.13734478915654802,-0.027121076071942807,-0.22029435434303235,-0.10428857186572926,224,221,0,121,103,0,0,0.9866071428571429
CT|e=E1|f=0|sp=1.5|k=1|tp=A1.0|sl=6|cv=gateA|1h,1h,E1,0,1.5,1,A1.0,6.0,gateA,-0.1731437776324849,-0.033189373578862535,-0.9689417365043709,-0.19954800992292188,-0.16632274905513908,-0.20412435084157887,-0.10683632129948539,-0.7590395567675391,-0.13843636812272664,-0.0742388633956449,-1.6518218141560397,-0.08663715585066123,1484,1235,0,910,574,0,0,0.8322102425876011
