rule_id,family,params,exit_code,direction,tf,sharpe_ann,sharpe_daily,n_trades,cum_return,mdd,cost_usd,funding_usd,halt_days,is_sharpe_ann,oos_sharpe_ann
"R-B|lb=50,th=2.5|X5|S|1h",R-B,"lb=50,th=2.5",X5,S,1h,-1.1803219176412363,-0.061780872805097906,1812,-0.8100385170216547,0.8436042855528064,2511.1607127772445,252.3696394912894,32,-1.583293870334354,-0.3532369897214687
"R-B|lb=50,th=2.5|X5|LS|1h",R-B,"lb=50,th=2.5",X5,LS,1h,-0.9687245407862506,-0.050705359904774275,3616,-0.895148652389791,0.904762653375902,3957.700100683676,217.85983899210018,78,-1.0145282402937168,-0.8746322900786749
"R-B|lb=50,th=3|X1|L|1h",R-B,"lb=50,th=3.0",X1,L,1h,-0.5143159585226129,-0.026920527646065173,1082,-0.5629204888087342,0.6035463021180643,1785.0292050693283,-113.7077508810841,35,-0.43673052060082224,-0.6789415928340654
"R-B|lb=50,th=3|X1|S|1h",R-B,"lb=50,th=3.0",X1,S,1h,-1.1049174190034876,-0.05783402095930603,1126,-0.7561394812103741,0.8036312362699319,1704.4527232016794,221.27110942396965,27,-1.4930250413841497,-0.3503390171431764
"R-B|lb=50,th=3|X1|LS|1h",R-B,"lb=50,th=3.0",X1,LS,1h,-1.1183243141643808,-0.05853576992479308,2208,-0.8914981925994332,0.8985225577896753,2225.0204965047233,97.53846666286579,61,-1.309606603330959,-0.7332596237651033
"R-B|lb=50,th=3|X2|L|1h",R-B,"lb=50,th=3.0",X2,L,1h,-0.7417082775928792,-0.038822785607529595,1134,-0.6277908081380705,0.673364936889267,1941.1963142522102,-83.85688707477526,30,-0.4342283335249729,-1.3991283178840193
"R-B|lb=50,th=3|X2|S|1h",R-B,"lb=50,th=3.0",X2,S,1h,-1.0898806667933443,-0.057046961376821,1188,-0.7049939563362835,0.7671597254535736,1963.1269557732776,188.44814721258885,19,-1.3403280487008793,-0.5948338204531751
"R-B|lb=50,th=3|X2|LS|1h",R-B,"lb=50,th=3.0",X2,LS,1h,-1.2772373332844509,-0.06685365750664114,2296,-0.8789080235175493,0.8877622278561891,2869.7182056614333,100.06162124414091,46,-1.1972002964707986,-1.4372523181962895
"R-B|lb=50,th=3|X3|L|1h",R-B,"lb=50,th=3.0",X3,L,1h,-1.6356082616676393,-0.08561164921430364,1230,-0.8946632584691553,0.9070045706291912,2408.816368375553,-147.62103836202047,43,-1.7558260771192047,-1.404539561898906
"R-B|lb=50,th=3|X3|S|1h",R-B,"lb=50,th=3.0",X3,S,1h,-1.5440233502606984,-0.08081787585643382,1302,-0.8676899015108676,0.8783636565968695,3107.8754362348022,264.0727962316784,36,-1.859229614780452,-0.9086131945059934
"R-B|lb=50,th=3|X3|LS|1h",R-B,"lb=50,th=3.0",X3,LS,1h,-2.2669672036243336,-0.11865848661044165,2532,-0.9856963590526993,0.9866576436608935,2879.710515131711,29.93121583398919,77,-2.5779090368517825,-1.6624572270129037
"R-B|lb=50,th=3|X4|L|1h",R-B,"lb=50,th=3.0",X4,L,1h,-0.418202432384031,-0.021889715759521814,1162,-0.36089217328526113,0.41168927640308217,2469.1832996400417,-78.2264908498282,15,-0.3300735800774845,-0.6136358959558231
"R-B|lb=50,th=3|X4|S|1h",R-B,"lb=50,th=3.0",X4,S,1h,-1.295900092698763,-0.06783051098054081,1212,-0.6852419160337332,0.6937653257304719,1808.4024051718,195.40706316720414,12,-1.7004304538401358,-0.4996556376326173
"R-B|lb=50,th=3|X4|LS|1h",R-B,"lb=50,th=3.0",X4,LS,1h,-1.2012841690626024,-0.06287808719162728,2374,-0.7978355930505677,0.8044676007261061,2965.1596147964774,121.99819646367072,27,-1.407036535798296,-0.7815870244373737
"R-B|lb=50,th=3|X5|L|1h",R-B,"lb=50,th=3.0",X5,L,1h,-0.6604319694915901,-0.03456858920752685,1118,-0.5719810303998171,0.6126331259547317,1762.0172524336667,-108.69850324406035,29,-0.5868876266180101,-0.8094841421165031
"R-B|lb=50,th=3|X5|S|1h",R-B,"lb=50,th=3.0",X5,S,1h,-1.0656310776947544,-0.05577767987210252,1192,-0.7003166396297786,0.7525463175875692,1865.6736677922106,208.23211365301546,20,-1.5186062314426634,-0.1734624151028913
"R-B|lb=50,th=3|X5|LS|1h",R-B,"lb=50,th=3.0",X5,LS,1h,-1.2139053359568084,-0.06353870925997039,2310,-0.8713510978456713,0.8749379565177248,2263.252115882099,78.19927909233314,50,-1.470449331465705,-0.7045747959279766
"R-C|n=2,t=5,filt=0|X1|L|1h",R-C,"n=2,t=5,filt=0",X1,L,1h,-0.9877388376959554,-0.051700613692151544,7402,-0.7034039237495233,0.7473265362509005,11029.7475180693,-82.16159537630429,22,-0.7778278293816325,-1.3866079407271104
"R-C|n=2,t=5,filt=0|X1|S|1h",R-C,"n=2,t=5,filt=0",X1,S,1h,-1.774692593905279,-0.09289165588937023,7298,-0.8440274250840463,0.867196553357178,10289.23876961824,47.604748474073126,14,-1.2977429849350388,-2.6777032131501364
"R-C|n=2,t=5,filt=0|X1|LS|1h",R-C,"n=2,t=5,filt=0",X1,LS,1h,-1.9991268918900036,-0.10463908395086478,14660,-0.9557984872798524,0.9569185151703502,12754.487394154638,-5.115297619242064,38,-1.5263725630988403,-2.919671137820068
"R-C|n=2,t=5,filt=0|X2|L|1h",R-C,"n=2,t=5,filt=0",X2,L,1h,-1.4113498495426695,-0.0738734274394732,7504,-0.7876948079810041,0.8026334304392835,9270.449032523644,-55.25018915924271,21,-1.2680078647853021,-1.689508982565285
"R-C|n=2,t=5,filt=0|X2|S|1h",R-C,"n=2,t=5,filt=0",X2,S,1h,-1.6948932151373681,-0.08871476550387403,7402,-0.8100928912836282,0.8408208551888077,11559.278388101358,46.24888709535419,13,-1.1079982900101102,-2.823281784846632
